,date,timestamp,price
2200,2019-03-14,1552607948997,131.48
13492,2019-03-15,1552694361383,136.04
25746,2019-03-16,1552780758731,140.27
38429,2019-03-17,1552866972098,138.14
51464,2019-03-18,1552953553734,137.13
65046,2019-03-19,1553039969345,138.2
77619,2019-03-20,1553126399914,138.68
94450,2019-03-21,1553212642875,134.45
103377,2019-03-22,1553299194489,135.45
113192,2019-03-23,1553385590436,136.57
121589,2019-03-24,1553471968996,135.59
139359,2019-03-25,1553558369029,133.06
150722,2019-03-26,1553644793115,133.27
167087,2019-03-27,1553731189661,139.05
174384,2019-03-28,1553817430128,137.36
189795,2019-03-29,1553903997655,142.84
204284,2019-03-30,1553990382244,142.14
214246,2019-03-31,1554076792324,141.21
230034,2019-04-01,1554163180031,140.97
309654,2019-04-02,1554249591774,164.57
338639,2019-04-27,1556409583378,155.56
353332,2019-04-28,1556495945707,153.53
367581,2019-04-29,1556582361940,152.23
389482,2019-04-30,1556668786235,160.35
466021,2019-04-03,1554335991749,161.38
498576,2019-04-04,1554422392450,157.89
525661,2019-04-05,1554508789423,166.21
561026,2019-04-06,1554595186167,165.68
607123,2019-04-07,1554681597424,175.07
689772,2019-04-08,1554767989040,180.74
731683,2019-04-09,1554854399952,175.75
796902,2019-04-10,1554940799846,177.72
848716,2019-04-11,1555027199763,165.11
890797,2019-04-12,1555113599175,164.15
903621,2019-04-13,1555199999634,163.75
919251,2019-04-14,1555286399941,168.25
964201,2019-04-15,1555372799512,159.94
1000733,2019-04-16,1555459199982,166.21
1017944,2019-04-17,1555545599338,166.56
1042781,2019-04-18,1555631974978,174.06
1063453,2019-04-19,1555718365365,173.65
1082813,2019-04-20,1555804732999,173.67
1097627,2019-04-21,1555891197300,169.78
1113174,2019-04-22,1555977515149,171.67
1134708,2019-04-23,1556063999966,170.23
1156256,2019-04-24,1556150358718,165.72
1182733,2019-04-25,1556236771312,152.2
1189482,2019-04-26,1556254830074,153.07
1206498,2019-05-01,1556755174043,158.22
1222868,2019-05-02,1556841599356,158.44
1257384,2019-05-03,1556927999514,165.05
1282915,2019-05-04,1557014397869,161.82
1590832,2019-05-17,1558137597269,244.36
1700686,2019-05-18,1558223998110,233.9
1799140,2019-05-19,1558310399227,261.16
1899361,2019-05-20,1558396787047,252.54
1975604,2019-05-21,1558483199068,254.87
2051581,2019-05-22,1558569591165,243.63
2128081,2019-05-23,1558655985335,245.55
2190944,2019-05-24,1558742392509,249.85
2234382,2019-05-25,1558828789588,251.86
2296945,2019-05-05,1557100799898,161.38
2329831,2019-05-06,1557187189417,171.31
2375326,2019-05-07,1557273599077,166.12
2406086,2019-05-26,1558915197600,268.73
2484546,2019-05-27,1559001593534,271.55
2537976,2019-05-28,1559087999366,271.62
2591647,2019-05-29,1559174351647,269.68
2728485,2019-05-30,1559260799886,254.34
2783030,2019-05-31,1559347199604,267.99
2802515,2019-05-08,1557359993008,169.41
2825690,2019-05-09,1557446396322,170.24
2864712,2019-05-10,1557532763841,171.94
2973889,2019-05-11,1557619199799,192.79
3096034,2019-05-12,1557705592355,188.33
3154587,2019-05-13,1557791995546,196.57
3240533,2019-05-14,1557878393812,217.91
3335417,2019-05-15,1557964785405,249.14
3483030,2019-05-16,1558025356594,268.56
3532003,2019-06-01,1559433579092,264.82
3576726,2019-06-02,1559519998751,269.35
3717982,2019-06-23,1561334397972,307.05
3762387,2019-06-24,1561420785506,311.2
3803978,2019-06-25,1561507199147,316.8
3957068,2019-06-26,1561593599533,335.25
4098692,2019-06-27,1561679992246,293.35
4136239,2019-06-28,1561766394488,309.5
4162892,2019-06-29,1561852798529,316.7
4194487,2019-06-30,1561939197167,290.25
4256000,2019-06-03,1559606399652,249.67
4343962,2019-06-04,1559692771586,240.91
4386205,2019-06-05,1559779132534,246.2
4432545,2019-06-06,1559865599632,249.58
4466766,2019-06-07,1559951987987,249.35
4485116,2019-06-08,1560038354612,244.25
4519681,2019-06-09,1560124792769,231.25
4552563,2019-06-10,1560211199719,247.65
4586644,2019-06-11,1560297470570,245.3
4621159,2019-06-12,1560383997897,262.8
4651441,2019-06-13,1560470370074,255.3
4687577,2019-06-14,1560556765466,263.85
4711778,2019-06-15,1560643158298,269.5
4770001,2019-06-16,1560729595011,268.5
4817259,2019-06-17,1560815980018,274.0
4849687,2019-06-18,1560902264342,264.6
4867523,2019-06-19,1560988789016,269.15
4885753,2019-06-20,1561075189717,272.25
4948101,2019-06-21,1561161599374,296.55
4994487,2019-06-22,1561200798615,307.2
5027662,2019-07-01,1562025575524,293.65
5063012,2019-07-02,1562111950681,291.4
5086176,2019-07-03,1562198397224,302.0
5109277,2019-07-04,1562284798310,282.4
5130237,2019-07-05,1562371196633,287.85
5148358,2019-07-06,1562457522087,287.6
5168851,2019-07-07,1562543994502,306.5
5183899,2019-07-08,1562630388552,313.4
5204082,2019-07-09,1562716793568,308.0
5242082,2019-07-10,1562803183126,288.85
5280076,2019-07-11,1562889563485,268.65
5297285,2019-07-12,1562975959384,275.05
5314654,2019-07-13,1563062398713,269.1
5356376,2019-07-14,1563148798400,225.75
5391259,2019-07-15,1563235184226,228.0
5449973,2019-07-16,1563321574967,198.5
5485916,2019-07-17,1563407992562,211.25
5523869,2019-07-18,1563494371919,225.95
5545980,2019-07-19,1563580798761,221.25
5562390,2019-07-20,1563667171378,228.55
5580809,2019-07-21,1563753587473,225.4
5605844,2019-07-22,1563839999502,217.15
5623647,2019-07-23,1563926396169,212.15
5644770,2019-07-24,1564012758100,216.45
5657167,2019-07-25,1564099197231,218.95
5673353,2019-07-26,1564185553479,219.15
5699905,2019-07-27,1564271995132,207.0
5718353,2019-07-28,1564358399988,211.4
5734065,2019-07-29,1564444790380,210.6
5747342,2019-07-30,1564530972877,209.65
5759994,2019-07-31,1564617553872,218.6
5771373,2019-08-01,1564703976597,217.6
5783728,2019-08-02,1564790176032,217.75
5796290,2019-08-03,1564876718080,222.25
5806770,2019-08-04,1564963187819,222.85
5823900,2019-08-05,1565049595873,233.3
5847276,2019-08-06,1565135995358,226.0
5865745,2019-08-07,1565222373296,226.0
5881576,2019-08-08,1565308793851,221.1
5897124,2019-08-09,1565395156016,210.3
5911114,2019-08-10,1565481387428,206.05
5921737,2019-08-11,1565567999014,216.3
5928378,2019-08-12,1565654386890,211.25
5939056,2019-08-13,1565740790542,208.65
5964058,2019-08-14,1565827199236,186.3
5980510,2019-08-15,1565913595691,187.85
5996966,2019-08-16,1565999934817,184.95
6004389,2019-08-17,1566086281912,185.55
6014905,2019-08-18,1566172789911,194.45
6026645,2019-08-19,1566259186971,202.3
6033849,2019-08-20,1566345594603,196.5
6050556,2019-08-21,1566431986115,187.2
6064919,2019-08-22,1566518393082,190.5
6076386,2019-08-23,1566604451950,194.55
6084724,2019-08-24,1566691148431,190.8
6093569,2019-08-25,1566777599438,186.5
6107035,2019-08-26,1566863879984,188.35
6116733,2019-08-27,1566950396221,187.15
6142279,2019-08-28,1567036794577,172.7
6160010,2019-08-29,1567123128154,168.7
6175285,2019-08-30,1567209547951,168.3
6185612,2019-08-31,1567295986939,171.65
6197523,2019-09-01,1567382368378,171.2
6212843,2019-09-02,1567468796063,178.75
6233223,2019-09-03,1567555143588,179.0
6250329,2019-09-04,1567641538979,175.05
6264634,2019-09-05,1567727953561,174.15
6285930,2019-09-06,1567814394237,169.05
6300804,2019-09-07,1567900687757,178.3
6316690,2019-09-08,1567987198041,181.5
6332534,2019-09-09,1568073520223,180.9
6345978,2019-09-10,1568159920007,179.9
6362630,2019-09-11,1568246365977,178.5
6371210,2019-09-12,1568332797988,181.35
6379813,2019-09-13,1568419186491,181.4
6395278,2019-09-14,1568505525187,188.9
6407301,2019-09-15,1568591988249,189.45
6431600,2019-09-16,1568678379518,197.7
6464139,2019-09-17,1568764792234,208.0
6490929,2019-09-18,1568851142091,210.4
6529581,2019-09-19,1568937596432,220.95
6549117,2019-09-20,1569023875366,218.2
6568793,2019-09-21,1569110321264,214.9
6587257,2019-09-22,1569196797189,211.35
6609741,2019-09-23,1569283198870,201.2
6698684,2019-09-24,1569369597092,166.05
6745867,2019-09-25,1569455900347,169.9
6782803,2019-09-26,1569542382016,165.5
6806144,2019-09-27,1569628713735,173.95
6821649,2019-09-28,1569715173493,173.75
6839053,2019-09-29,1569801472631,169.15
6864685,2019-09-30,1569887992023,181.3
6889741,2019-10-01,1569974392741,176.15
6904619,2019-10-02,1570060636096,180.8
6920449,2019-10-03,1570147164297,175.0
6937460,2019-10-04,1570233564320,175.8
6951865,2019-10-05,1570319959963,176.6
6973547,2019-10-06,1570406396636,170.15
6991247,2019-10-07,1570492789274,180.25
7006401,2019-10-08,1570579193760,180.7
7031175,2019-10-09,1570665586096,193.15
7046258,2019-10-10,1570751971918,191.75
7076023,2019-10-11,1570838396859,180.75
7090876,2019-10-12,1570924735930,179.85
