trade_id,timestamp,tick_direction,price,instrument_name,index_price,direction,amount
77436382,1589414400698,1,9319.0,BTC-PERPETUAL,9319.47,buy,130.0
77436383,1589414400698,1,9319.0,BTC-PERPETUAL,9319.47,buy,370.0
77436384,1589414401157,2,9318.5,BTC-PERPETUAL,9319.47,sell,200.0
77436385,1589414401224,0,9319.0,BTC-PERPETUAL,9319.47,buy,2140.0
77436386,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,60.0
77436387,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,5000.0
77436388,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,30.0
77436389,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,3000.0
77436390,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,1000.0
77436391,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,20.0
77436392,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,30.0
77436393,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,13000.0
77436394,1589414401224,1,9319.0,BTC-PERPETUAL,9319.47,buy,200.0
77436395,1589414401224,0,9319.5,BTC-PERPETUAL,9319.47,buy,110.0
77436396,1589414401224,1,9319.5,BTC-PERPETUAL,9319.47,buy,150.0
77436397,1589414401224,1,9319.5,BTC-PERPETUAL,9319.47,buy,1000.0
77436398,1589414401224,1,9319.5,BTC-PERPETUAL,9319.47,buy,60.0
77436399,1589414401224,1,9319.5,BTC-PERPETUAL,9319.47,buy,5000.0
77436400,1589414401224,0,9320.0,BTC-PERPETUAL,9319.47,buy,20.0
77436401,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,80.0
77436402,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,10.0
77436403,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,50.0
77436404,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,150.0
77436405,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,150.0
77436406,1589414401224,1,9320.0,BTC-PERPETUAL,9319.47,buy,150.0
77436407,1589414401224,0,9320.5,BTC-PERPETUAL,9319.47,buy,150.0
77436408,1589414401224,1,9320.5,BTC-PERPETUAL,9319.47,buy,1500.0
77436409,1589414401224,1,9320.5,BTC-PERPETUAL,9319.47,buy,200.0
77436410,1589414401224,1,9320.5,BTC-PERPETUAL,9319.47,buy,170.0
77436411,1589414401224,0,9321.0,BTC-PERPETUAL,9319.47,buy,1000.0
77436412,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,500.0
77436413,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,150.0
77436414,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,1800.0
77436415,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,250.0
77436416,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,10.0
77436417,1589414401224,1,9321.0,BTC-PERPETUAL,9319.47,buy,3000.0
77436418,1589414401224,0,9321.5,BTC-PERPETUAL,9319.47,buy,1000.0
77436419,1589414401224,1,9321.5,BTC-PERPETUAL,9319.47,buy,100.0
77436420,1589414401224,1,9321.5,BTC-PERPETUAL,9319.47,buy,100.0
77436421,1589414401224,1,9321.5,BTC-PERPETUAL,9319.47,buy,100.0
77436422,1589414401224,1,9321.5,BTC-PERPETUAL,9319.47,buy,12000.0
77436423,1589414401224,1,9321.5,BTC-PERPETUAL,9319.47,buy,20000.0
77436424,1589414401224,0,9322.0,BTC-PERPETUAL,9319.47,buy,10.0
77436425,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,10.0
77436426,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,50.0
77436427,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,10.0
77436428,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,100.0
77436429,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,1250.0
77436430,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,10.0
77436431,1589414401224,1,9322.0,BTC-PERPETUAL,9319.47,buy,10.0
77436432,1589414401224,0,9322.5,BTC-PERPETUAL,9319.47,buy,220.0
77436433,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,100.0
77436434,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,50.0
77436435,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,20.0
77436436,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,250.0
77436437,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,10.0
77436438,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,10.0
77436439,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,3000.0
77436440,1589414401224,1,9322.5,BTC-PERPETUAL,9319.47,buy,2090.0
77436441,1589414401290,2,9320.5,BTC-PERPETUAL,9319.53,buy,3600.0
77436442,1589414401290,3,9320.5,BTC-PERPETUAL,9319.53,buy,1440.0
77436447,1589414403489,2,9320.0,BTC-PERPETUAL,9319.96,sell,210.0
77436448,1589414404147,3,9320.0,BTC-PERPETUAL,9319.96,sell,1590.0
77436449,1589414404147,3,9320.0,BTC-PERPETUAL,9319.96,sell,1420.0
77436450,1589414404155,3,9320.0,BTC-PERPETUAL,9319.96,sell,2180.0
77436451,1589414404155,3,9320.0,BTC-PERPETUAL,9319.96,sell,3000.0
77436452,1589414404155,3,9320.0,BTC-PERPETUAL,9319.96,sell,2830.0
77436453,1589414404157,3,9320.0,BTC-PERPETUAL,9319.96,sell,8010.0
77436454,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,200.0
77436455,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,10.0
77436456,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,10.0
77436457,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,1000.0
77436458,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,270.0
77436459,1589414404208,3,9320.0,BTC-PERPETUAL,9319.96,sell,520.0
77436460,1589414404241,3,9320.0,BTC-PERPETUAL,9319.96,sell,3010.0
77436461,1589414404244,3,9320.0,BTC-PERPETUAL,9319.96,sell,1470.0
77436462,1589414404259,2,9319.5,BTC-PERPETUAL,9319.96,sell,3000.0
77436463,1589414404259,3,9319.5,BTC-PERPETUAL,9319.96,sell,1720.0
77436464,1589414404264,3,9319.5,BTC-PERPETUAL,9319.96,sell,80.0
77436466,1589414404268,2,9319.0,BTC-PERPETUAL,9320.08,sell,60.0
77436467,1589414404268,3,9319.0,BTC-PERPETUAL,9320.08,sell,10.0
77436468,1589414404268,3,9319.0,BTC-PERPETUAL,9320.08,sell,60.0
77436470,1589414404297,3,9319.0,BTC-PERPETUAL,9320.08,sell,10.0
77436471,1589414404299,3,9319.0,BTC-PERPETUAL,9320.08,sell,90.0
77436472,1589414404304,3,9319.0,BTC-PERPETUAL,9320.08,sell,110.0
77436473,1589414405815,3,9319.0,BTC-PERPETUAL,9319.9,buy,100.0
77436474,1589414405895,3,9319.0,BTC-PERPETUAL,9319.9,buy,260.0
77436475,1589414406832,3,9319.0,BTC-PERPETUAL,9320.06,buy,3240.0
77436476,1589414406832,3,9319.0,BTC-PERPETUAL,9320.06,buy,3590.0
77436477,1589414407450,0,9319.5,BTC-PERPETUAL,9320.18,buy,5000.0
77436482,1589414409998,0,9320.0,BTC-PERPETUAL,9321.13,buy,10.0
77436483,1589414409998,1,9320.0,BTC-PERPETUAL,9321.13,buy,10.0
77436484,1589414409998,0,9320.5,BTC-PERPETUAL,9321.13,buy,30.0
77436485,1589414409998,1,9320.5,BTC-PERPETUAL,9321.13,buy,140.0
77436487,1589414410230,1,9320.5,BTC-PERPETUAL,9321.13,buy,450.0
77436488,1589414410230,1,9320.5,BTC-PERPETUAL,9321.13,buy,20.0
77436489,1589414410230,1,9320.5,BTC-PERPETUAL,9321.13,buy,10.0
77436490,1589414410230,0,9321.0,BTC-PERPETUAL,9321.13,buy,10.0
77436491,1589414410230,1,9321.0,BTC-PERPETUAL,9321.13,buy,10.0
77436492,1589414410230,0,9322.0,BTC-PERPETUAL,9321.13,buy,30.0
77436493,1589414410230,0,9322.5,BTC-PERPETUAL,9321.13,buy,10.0
77436494,1589414410230,1,9322.5,BTC-PERPETUAL,9321.13,buy,30.0
77436495,1589414410230,1,9322.5,BTC-PERPETUAL,9321.13,buy,200.0
77436496,1589414410230,0,9323.0,BTC-PERPETUAL,9321.13,buy,500.0
77436497,1589414410230,1,9323.0,BTC-PERPETUAL,9321.13,buy,500.0
77436498,1589414410230,1,9323.0,BTC-PERPETUAL,9321.13,buy,50.0
77436499,1589414410230,1,9323.0,BTC-PERPETUAL,9321.13,buy,10.0
77436500,1589414410230,1,9323.0,BTC-PERPETUAL,9321.13,buy,1450.0
77436501,1589414410230,0,9323.5,BTC-PERPETUAL,9321.13,buy,190.0
77436502,1589414410230,1,9323.5,BTC-PERPETUAL,9321.13,buy,10.0
77436503,1589414410230,0,9324.0,BTC-PERPETUAL,9321.13,buy,500.0
77436504,1589414410230,1,9324.0,BTC-PERPETUAL,9321.13,buy,40.0
77436505,1589414410230,1,9324.0,BTC-PERPETUAL,9321.13,buy,20.0
77436506,1589414410230,1,9324.0,BTC-PERPETUAL,9321.13,buy,5960.0
77436507,1589414411260,1,9324.0,BTC-PERPETUAL,9321.61,buy,70.0
77436508,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,9320.0
77436509,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,300.0
77436510,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,1450.0
77436511,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,20.0
77436512,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,100.0
77436513,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,30.0
77436514,1589414411284,1,9324.0,BTC-PERPETUAL,9321.61,buy,23440.0
77436515,1589414411287,1,9324.0,BTC-PERPETUAL,9321.61,buy,5360.0
77436516,1589414411287,1,9324.0,BTC-PERPETUAL,9321.61,buy,10.0
77436517,1589414411357,0,9324.5,BTC-PERPETUAL,9322.11,buy,160.0
77436519,1589414412548,1,9324.5,BTC-PERPETUAL,9322.31,buy,1160.0
77436521,1589414415200,1,9324.5,BTC-PERPETUAL,9323.13,buy,10.0
77436524,1589414416346,1,9324.5,BTC-PERPETUAL,9323.12,buy,310.0
