timestamp,tick_direction,direction,amount,price
1577836835608,3,sell,350.0,7162.0
1577836835608,3,sell,350.0,7162.0
1577836835608,3,sell,1130.0,7162.0
1577836835608,3,sell,120.0,7162.0
1577836835608,3,sell,100.0,7162.0
1577836835608,3,sell,30.0,7162.0
1577836835608,3,sell,100.0,7162.0
1577836835608,2,sell,10.0,7161.5
1577836835608,3,sell,50.0,7161.5
1577836835608,3,sell,50.0,7161.5
1577836835608,3,sell,90.0,7161.5
1577836835608,3,sell,90.0,7161.5
1577836835608,3,sell,160.0,7161.5
1577836835608,3,sell,390.0,7161.5
1577836835608,3,sell,320.0,7161.5
1577836835608,3,sell,150.0,7161.5
1577836835608,3,sell,190.0,7161.5
1577836835608,3,sell,450.0,7161.5
1577836835608,3,sell,40.0,7161.5
1577836835608,3,sell,10.0,7161.5
1577836835608,3,sell,100.0,7161.5
1577836835608,3,sell,100.0,7161.5
1577836835608,3,sell,3710.0,7161.5
1577836835643,0,sell,480.0,7164.0
1577836835643,2,sell,1520.0,7162.0
1577836835776,0,buy,140.0,7162.5
1577836836790,1,buy,140.0,7162.5
1577836844868,2,sell,930.0,7162.0
1577836844868,3,sell,2000.0,7162.0
1577836844868,3,sell,110.0,7162.0
1577836848530,3,sell,1010.0,7162.0
1577836848801,3,sell,1000.0,7162.0
1577836851705,3,sell,950.0,7162.0
1577836852305,3,sell,7040.0,7162.0
1577836852305,3,sell,200.0,7162.0
1577836852305,3,sell,1130.0,7162.0
1577836852305,3,sell,5230.0,7162.0
1577836852305,3,sell,57890.0,7162.0
1577836853643,3,sell,2500.0,7162.0
1577836859237,3,sell,250.0,7162.0
1577836861703,3,sell,250.0,7162.0
1577836863370,3,sell,250.0,7162.0
1577836863507,3,sell,790.0,7162.0
1577836863507,2,sell,10.0,7161.5
1577836863507,2,sell,20.0,7161.0
1577836863507,3,sell,180.0,7161.0
1577836863522,3,sell,1000.0,7161.0
1577836863525,3,sell,820.0,7161.0
1577836863525,3,sell,1130.0,7161.0
1577836863525,3,sell,4050.0,7161.0
1577836863525,3,sell,2200.0,7161.0
1577836863525,3,sell,6000.0,7161.0
1577836863525,3,sell,5800.0,7161.0
1577836864891,2,sell,70.0,7160.5
1577836864891,3,sell,70.0,7160.5
1577836864891,3,sell,30.0,7160.5
1577836864891,3,sell,80.0,7160.5
1577836868238,3,sell,250.0,7160.5
1577836869735,3,sell,250.0,7160.5
1577836871002,3,sell,250.0,7160.5
1577836872324,3,sell,250.0,7160.5
1577836874918,0,buy,1000.0,7161.0
1577836874918,1,buy,2000.0,7161.0
1577836874918,1,buy,1050.0,7161.0
1577836874918,1,buy,10.0,7161.0
1577836874918,1,buy,440.0,7161.0
1577836874918,1,buy,10.0,7161.0
1577836874918,0,buy,500.0,7161.5
1577836874918,1,buy,1000.0,7161.5
1577836874918,1,buy,1000.0,7161.5
1577836874918,0,buy,500.0,7162.0
1577836874918,1,buy,1000.0,7162.0
1577836874918,1,buy,100.0,7162.0
1577836874918,0,buy,100.0,7162.5
1577836874918,1,buy,70.0,7162.5
1577836874918,1,buy,300.0,7162.5
1577836874918,1,buy,20.0,7162.5
1577836874918,1,buy,8470.0,7162.5
1577836877135,2,sell,50.0,7160.5
1577836877135,3,sell,1950.0,7160.5
1577836880320,0,buy,100.0,7161.0
1577836880320,1,buy,10000.0,7161.0
1577836880320,1,buy,410.0,7161.0
1577836880320,0,buy,30.0,7162.5
1577836880320,0,buy,8210.0,7163.0
1577836889477,2,buy,100.0,7161.0
1577836889477,3,buy,40.0,7161.0
1577836892328,2,sell,7160.0,7160.5
1577836951914,0,buy,370.0,7161.0
1577836951914,1,buy,100.0,7161.0
1577836951914,1,buy,2920.0,7161.0
1577836951914,1,buy,3760.0,7161.0
1577836972028,2,sell,320.0,7160.5
1577836976553,3,sell,230.0,7160.5
1577836985584,0,buy,8610.0,7161.0
1577836987182,1,buy,10.0,7161.0
1577836987182,1,buy,100.0,7161.0
1577836987182,1,buy,4000.0,7161.0
1577836987182,1,buy,100.0,7161.0
1577836987182,1,buy,410.0,7161.0
1577836987182,1,buy,70.0,7161.0
1577836987182,1,buy,5000.0,7161.0
1577836987182,1,buy,2000.0,7161.0
1577836987182,1,buy,20.0,7161.0
1577836987182,1,buy,2390.0,7161.0
1577836987182,1,buy,6900.0,7161.0
1577836992572,1,buy,100.0,7161.0
1577836992572,1,buy,410.0,7161.0
1577836994390,1,sell,20.0,7161.0
1577837009339,0,buy,13500.0,7161.5
1577837009458,1,buy,2400.0,7161.5
1577837014513,1,buy,100.0,7161.5
1577837014513,1,buy,100.0,7161.5
1577837014513,1,buy,34300.0,7161.5
1577837014524,1,buy,40.0,7161.5
1577837023960,0,buy,5000.0,7162.0
1577837023960,1,buy,53880.0,7162.0
1577837023960,1,buy,100.0,7162.0
1577837023960,0,buy,1020.0,7162.5
1577837032059,1,buy,6140.0,7162.5
1577837032059,1,buy,100.0,7162.5
1577837032059,0,buy,1000.0,7163.0
1577837032059,0,buy,10.0,7164.0
1577837032059,1,buy,10.0,7164.0
1577837032059,1,buy,100.0,7164.0
1577837032059,1,buy,100.0,7164.0
1577837032059,1,buy,100.0,7164.0
1577837032059,0,buy,100.0,7164.5
1577837032059,1,buy,80.0,7164.5
1577837032059,1,buy,100.0,7164.5
1577837032059,1,buy,43380.0,7164.5
1577837032059,1,buy,100.0,7164.5
1577837032059,1,buy,20.0,7164.5
1577837032059,0,buy,10.0,7165.5
1577837032059,1,buy,10.0,7165.5
1577837032059,1,buy,30.0,7165.5
1577837032059,1,buy,100.0,7165.5
1577837032059,1,buy,100.0,7165.5
